model_feature,coefficient,abs_coefficient,csv_code,ref_id,variable,survey_year,feature_group,question
C3420200,0.1334168292309763,0.1334168292309763,C3420200,C34202.00,MS-BPI-06,2006,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD ARGUES TOO MUCH
C0795900,0.13023413741609066,0.13023413741609066,C0795900,C07959.00,ANTIPX1988,1988,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - SAME SEX
Y1938701,-0.12610979452539964,0.12610979452539964,Y1938701,Y19387.01,YASR-54A~000002,2006,other,"BIRTH CONTROL METHODS R USED - CONDOM, RUBBER"
C1977300,-0.12361273564780546,0.12361273564780546,C1977300,C19773.00,MS984004,1998,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES
wave_2002,0.12286143655477845,0.12286143655477845,,,,,,
C3987200,0.11922467362198767,0.11922467362198767,C3987200,C39872.00,BPEXTP2010,2010,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL PERCENTILE SCORE TRICHOTOMOUS
wave_2004,-0.10253161545058148,0.10253161545058148,,,,,,
Y3563900,0.09932468868783499,0.09932468868783499,Y3563900,Y35639.00,Q12-172,2016,other,HOW MANY (MORE) CHILDREN DOES R EXPECT TO HAVE? (NONE OR SELECT TO
Y3332600,-0.09408300337628386,0.09408300337628386,Y3332600,Y33326.00,RESTYPE2014,2014,family/home,TYPE OF RESIDENCE R LIVES IN - CONSTRUCTED
C1435700,-0.09195844138857126,0.09195844138857126,C1435700,C14357.00,MS941447,1994,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT
C0578100,-0.08957595515516378,0.08957595515516378,C0578100,C05781.00,LOCA1986,1986,school/achievement,MEMORY FOR LOCATION:  TOTAL RAW SCORE
C6051000,0.08323305228402182,0.08323305228402182,C6051000,C60510.00,CRES2016,2016,family/home,USUAL RESIDENCE OF CHILD
Y3456000,-0.06341850011267501,0.06341850011267501,Y3456000,Y34560.00,QES-71A.01,2016,socioeconomic/work,EASIEST WAY FOR R TO REPORT TOTAL EARNINGS/TIME UNIT FOR RATE OF
C0984100,-0.06332180105603578,0.06332180105603578,C0984100,C09841.00,MS901329,1990,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES
Y3676400,-0.049750922782307895,0.049750922782307895,Y3676400,Y36764.00,RESTYPE2016,2016,family/home,TYPE OF RESIDENCE R LIVES IN - CONSTRUCTED
Y3246503,-0.04936579815531587,0.04936579815531587,Y3246503,Y32465.03,Q13-3C.01~000010,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME
Y3676100,0.04883684795592094,0.04883684795592094,Y3676100,Y36761.00,NUMINHH2016,2016,family/home,NUMBER OF HOUSEHOLD MEMBERS IN HH OF R
C0005500,0.044620242268605476,0.044620242268605476,C0005500,C00055.00,CMOB,XRND,background,DATE OF BIRTH OF CHILD - MONTH
Y3246603,-0.04452474562728164,0.04452474562728164,Y3246603,Y32466.03,Q13-3C.02~000010,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME
wave_2012,0.04227268039863653,0.04227268039863653,,,,,,
wave_2018,-0.04206040275409997,0.04206040275409997,,,,,,
Y3254900,0.04072077390156297,0.04072077390156297,Y3254900,Y32549.00,Q14-10M,2014,other,"WHEN R BUYS FOOD ITEM FOR FIRST TIME, HOW OFTEN R READS NUTRITIONAL"
Y2876700,0.03904615275713757,0.03904615275713757,Y2876700,Y28767.00,Q13-3D.01~000013,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT
Y3300000,0.03894616438125439,0.03894616438125439,Y3300000,Y33000.00,Q15-143,2014,family/home,HOW OFTEN R OR HOUSEHOLD PUTS OFF BUYING SOMETHING NECESSARY (SUCH
C0565800,0.038005775950171634,0.038005775950171634,C0565800,C05658.00,MS860536,1986,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT
wave_2016,-0.03726000703217535,0.03726000703217535,,,,,,
C1505800,-0.03507727039880001,0.03507727039880001,C1505800,C15058.00,BPEXTS1994,1994,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL STANDARD SCORE TRICHOTOMOUS ITEMS
Y2590306,0.029355038884314264,0.029355038884314264,Y2590306,Y25903.06,Q16-9~000007,2010,behavioral/externalizing,TIPI (HOW WELL R THINKS PAIR OF PERSONALITY TRAITS APPLIES TO R) -
wave_2010,0.02910511386215062,0.02910511386215062,,,,,,
wave_2006,-0.025865897269940485,0.025865897269940485,,,,,,
wave_2014,-0.025715159840875752,0.025715159840875752,,,,,,
Y1255500,-0.02449589569631551,0.02449589569631551,Y1255500,Y12555.00,Q4-5AA,2002,school/achievement,HAS R EVER SEEN A STUDENT CARRY A WEAPON ON SCHOOL PROPERTY
wave_2008,0.024060563910617967,0.024060563910617967,,,,,,
C0793800,0.023774679386738037,0.023774679386738037,C0793800,C07938.00,ANTI1988,1988,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL RAW SCORE
wave_2020,-0.018313901755833355,0.018313901755833355,,,,,,
C5807400,-0.017306182238110243,0.017306182238110243,C5807400,C58074.00,BPEXTP2014,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL PERCENTILE SCORE TRICHOTOMOUS
C6120500,0.011380752000646973,0.011380752000646973,C6120500,C61205.00,CRES2018,2018,family/home,USUAL RESIDENCE OF CHILD
C6034500,-0.011081923715546806,0.011081923715546806,C6034500,C60345.00,MS-BPI-31,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL
C1501900,-0.007324616191601244,0.007324616191601244,C1501900,C15019.00,ANTI1994,1994,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL RAW SCORE
Y2345000,-0.0010605284904518777,0.0010605284904518777,Y2345000,Y23450.00,Q4-5AA,2010,school/achievement,HAS R EVER SEEN A STUDENT CARRY A WEAPON ON SCHOOL PROPERTY
Y1415900,0.0,0.0,Y1415900,Y14159.00,YASR-60C,2002,prior delinquency/contact,HOW MANY TIMES IN LAST YEAR R HURT SOMEONE BADLY ENOUGH TO NEED
C2765800,0.0,0.0,C2765800,C27658.00,CSAS040B,2002,prior delinquency/contact,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO
Y1177000,0.0,0.0,Y1177000,Y11770.00,YASR-67,2000,prior delinquency/contact,EVER/SINCE DATE OF LAST INTERVIEW R BEEN ON PROBATION?
C2466100,0.0,0.0,C2466100,C24661.00,CSAS040B,2000,prior delinquency/contact,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO
Y1669000,0.0,0.0,Y1669000,Y16690.00,YASR-67,2004,prior delinquency/contact,EVER/SINCE DATE OF LAST INTERVIEW R BEEN ON PROBATION?
Y2258300,0.0,0.0,Y2258300,Y22583.00,YASR-67,2008,prior delinquency/contact,EVER/SINCE DATE OF LAST INTERVIEW R BEEN ON PROBATION?
Y1176200,0.0,0.0,Y1176200,Y11762.00,YASR-61B,2000,school/achievement,IN LAST YEAR R EVER GOTTEN INTO A PHYSICAL FIGHT AT SCHOOL OR WORK
C3366300,0.0,0.0,C3366300,C33663.00,CSAS040B,2006,prior delinquency/contact,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO
C5118200,0.0,0.0,C5118200,C51182.00,CSAS040B,2010,prior delinquency/contact,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO
Y1176900,0.0,0.0,Y1176900,Y11769.00,YASR-66,2000,prior delinquency/contact,EVER/SINCE DATE OF LAST INTERVIEW R BEEN SENTENCED TO A CORRECTIONS
Y1416200,0.0,0.0,Y1416200,Y14162.00,YASR-60F,2002,school/achievement,HOW MANY TIMES IN LAST YEAR R DAMAGED SCHOOL PROPERTY ON PURPOSE
C2766100,0.0,0.0,C2766100,C27661.00,CSAS040E,2002,school/achievement,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR DAMAGED SCHOOL PROPERTY ON
Y1668200,0.0,0.0,Y1668200,Y16682.00,YASR-61B,2004,school/achievement,IN LAST YEAR R EVER GOTTEN INTO A PHYSICAL FIGHT AT SCHOOL OR WORK
Y1942200,0.0,0.0,Y1942200,Y19422.00,YASR-66,2006,prior delinquency/contact,EVER/SINCE DATE OF LAST INTERVIEW R BEEN SENTENCED TO A CORRECTIONS
