C0000100,any_delinquency,any_violence,target_violent_ever,target_property_ever
58802,1.0,1.0,1.0,0.0
58803,1.0,1.0,1.0,1.0
58804,1.0,1.0,1.0,1.0
58901,1.0,1.0,1.0,0.0
58902,,,,
59001,1.0,1.0,1.0,0.0
59002,1.0,1.0,1.0,0.0
59003,1.0,0.0,1.0,1.0
59004,1.0,0.0,1.0,1.0
59301,,,,
59302,,,,
60401,0.0,0.0,0.0,0.0
60402,1.0,1.0,1.0,1.0
60403,1.0,1.0,1.0,1.0
60404,1.0,1.0,1.0,1.0
60801,1.0,1.0,1.0,1.0
60802,1.0,1.0,1.0,1.0
60803,1.0,1.0,1.0,1.0
61101,0.0,0.0,1.0,0.0
61102,1.0,1.0,1.0,1.0
61401,1.0,1.0,1.0,1.0
61402,1.0,1.0,1.0,1.0
61501,0.0,0.0,0.0,0.0
61502,1.0,1.0,1.0,1.0
61801,,,0.0,0.0
61802,1.0,0.0,0.0,0.0
61803,1.0,1.0,1.0,1.0
61901,0.0,0.0,0.0,0.0
61902,0.0,0.0,0.0,0.0
61903,0.0,0.0,0.0,0.0
61904,1.0,0.0,1.0,0.0
61905,1.0,1.0,1.0,1.0
61906,1.0,1.0,1.0,1.0
62101,1.0,1.0,1.0,1.0
62102,1.0,1.0,1.0,1.0
62103,1.0,1.0,1.0,1.0
62201,1.0,1.0,1.0,1.0
62202,1.0,1.0,1.0,1.0
62203,1.0,1.0,1.0,1.0
62301,1.0,1.0,1.0,1.0
62302,1.0,1.0,1.0,0.0
62701,1.0,1.0,1.0,1.0
62702,1.0,0.0,0.0,0.0
62703,1.0,1.0,1.0,1.0
62704,,,,
63201,0.0,0.0,1.0,0.0
63202,1.0,0.0,0.0,0.0
63203,1.0,1.0,1.0,1.0
63401,,,,
63402,,,,
63403,,,,
63501,1.0,1.0,1.0,1.0
63502,0.0,0.0,0.0,1.0
64001,1.0,1.0,1.0,1.0
64002,1.0,1.0,1.0,1.0
64201,0.0,0.0,0.0,
64202,1.0,1.0,1.0,1.0
64301,,,,
64801,1.0,1.0,1.0,1.0
65001,1.0,0.0,1.0,1.0
65002,,,,
65401,1.0,1.0,1.0,1.0
65601,1.0,1.0,1.0,1.0
65602,1.0,1.0,1.0,1.0
65701,1.0,1.0,1.0,1.0
65702,1.0,1.0,1.0,1.0
66001,,,0.0,0.0
66002,,,0.0,0.0
66003,,,,
66201,1.0,1.0,1.0,1.0
66202,1.0,1.0,1.0,1.0
66401,1.0,1.0,1.0,1.0
66402,1.0,1.0,1.0,1.0
66501,1.0,1.0,1.0,1.0
66502,1.0,1.0,1.0,1.0
66801,0.0,0.0,0.0,
66802,,,,
66803,0.0,0.0,0.0,
66804,1.0,1.0,1.0,1.0
66805,,,,
67701,1.0,1.0,1.0,1.0
67702,1.0,1.0,1.0,1.0
67703,1.0,1.0,1.0,1.0
67704,1.0,1.0,1.0,1.0
68801,0.0,0.0,0.0,0.0
68802,1.0,1.0,1.0,1.0
68901,0.0,0.0,1.0,0.0
68902,1.0,1.0,1.0,1.0
68903,0.0,0.0,0.0,
69101,,,,
69102,,,,
69103,,,,
69201,1.0,0.0,0.0,1.0
69202,1.0,1.0,1.0,1.0
69401,,,,
69402,,,,
69403,,,,
69404,,,,
69601,1.0,1.0,1.0,
69801,1.0,1.0,1.0,1.0
69802,0.0,0.0,0.0,0.0
70301,1.0,1.0,1.0,0.0
70302,1.0,1.0,1.0,1.0
70303,1.0,1.0,1.0,1.0
70401,0.0,0.0,0.0,0.0
70402,1.0,1.0,1.0,1.0
70601,0.0,0.0,0.0,0.0
70602,1.0,1.0,1.0,0.0
70603,1.0,1.0,1.0,1.0
70604,1.0,1.0,1.0,1.0
70605,1.0,1.0,1.0,1.0
70801,1.0,1.0,1.0,0.0
71201,0.0,0.0,1.0,0.0
71202,1.0,1.0,1.0,1.0
71301,1.0,1.0,1.0,1.0
71302,1.0,1.0,1.0,1.0
72001,0.0,0.0,0.0,0.0
72002,0.0,0.0,0.0,0.0
72101,1.0,1.0,1.0,1.0
72102,1.0,1.0,1.0,1.0
72401,1.0,1.0,1.0,1.0
72402,1.0,1.0,1.0,1.0
72601,0.0,0.0,0.0,0.0
72602,1.0,1.0,1.0,1.0
72603,,,0.0,0.0
73301,1.0,1.0,1.0,1.0
73302,1.0,1.0,1.0,1.0
73303,1.0,1.0,1.0,1.0
73304,1.0,1.0,1.0,1.0
73601,1.0,1.0,1.0,0.0
73602,1.0,1.0,1.0,1.0
73901,1.0,1.0,1.0,0.0
73902,1.0,0.0,0.0,
73903,1.0,1.0,1.0,1.0
74001,0.0,0.0,0.0,0.0
74301,1.0,1.0,1.0,1.0
74302,1.0,1.0,1.0,1.0
74401,1.0,1.0,1.0,1.0
74402,1.0,1.0,1.0,1.0
74601,1.0,1.0,1.0,1.0
74602,1.0,1.0,1.0,1.0
75201,1.0,1.0,1.0,1.0
75202,1.0,1.0,1.0,1.0
75501,0.0,0.0,0.0,0.0
75502,1.0,1.0,1.0,0.0
75503,1.0,1.0,1.0,1.0
75601,1.0,1.0,1.0,0.0
75602,1.0,1.0,1.0,1.0
75603,1.0,1.0,1.0,1.0
75604,1.0,1.0,1.0,1.0
75605,1.0,1.0,1.0,1.0
75701,1.0,1.0,1.0,1.0
75702,1.0,1.0,1.0,1.0
75801,0.0,0.0,0.0,1.0
75901,1.0,1.0,1.0,1.0
75902,1.0,1.0,1.0,0.0
75903,1.0,1.0,1.0,1.0
75904,1.0,1.0,1.0,1.0
76101,1.0,1.0,1.0,1.0
76102,1.0,1.0,1.0,1.0
76103,1.0,1.0,1.0,1.0
76401,1.0,1.0,1.0,1.0
76402,1.0,1.0,1.0,1.0
76403,1.0,1.0,1.0,1.0
76404,1.0,1.0,1.0,1.0
76405,1.0,1.0,1.0,1.0
76801,1.0,1.0,1.0,0.0
76802,1.0,1.0,1.0,1.0
76803,1.0,1.0,1.0,1.0
76804,1.0,1.0,1.0,1.0
77001,1.0,1.0,1.0,1.0
77002,1.0,1.0,1.0,1.0
77501,1.0,1.0,1.0,1.0
77502,1.0,1.0,1.0,1.0
77503,1.0,1.0,1.0,1.0
77901,1.0,1.0,1.0,0.0
78301,1.0,1.0,1.0,0.0
78501,,,,
78701,,,,
78801,,,,
78901,0.0,0.0,0.0,0.0
79001,1.0,1.0,1.0,1.0
79201,1.0,0.0,0.0,0.0
79202,1.0,1.0,1.0,1.0
79203,1.0,1.0,1.0,1.0
79204,1.0,1.0,1.0,1.0
80101,1.0,0.0,0.0,0.0
80102,1.0,1.0,1.0,1.0
80103,1.0,1.0,1.0,1.0
80301,1.0,1.0,1.0,0.0
80302,1.0,1.0,1.0,1.0
80303,1.0,1.0,1.0,1.0
80304,1.0,1.0,1.0,1.0
80305,1.0,1.0,1.0,1.0
80306,1.0,1.0,1.0,1.0
80401,1.0,1.0,1.0,1.0
80402,1.0,1.0,1.0,1.0
80501,,,,
81001,1.0,1.0,1.0,1.0
81101,1.0,1.0,1.0,1.0
81201,1.0,1.0,1.0,1.0
81202,1.0,1.0,1.0,1.0
81203,1.0,1.0,1.0,1.0
81204,1.0,1.0,1.0,1.0
81401,0.0,0.0,0.0,0.0
81402,1.0,1.0,1.0,1.0
81601,0.0,0.0,0.0,
81602,1.0,0.0,0.0,
82001,1.0,1.0,1.0,1.0
82401,,,,
82801,1.0,1.0,1.0,1.0
82802,1.0,1.0,1.0,1.0
82901,1.0,1.0,1.0,1.0
82902,1.0,1.0,1.0,1.0
83001,0.0,0.0,0.0,0.0
83101,1.0,1.0,1.0,1.0
83102,1.0,1.0,1.0,1.0
83103,1.0,1.0,1.0,1.0
83104,,,,
83401,0.0,0.0,1.0,0.0
83402,1.0,1.0,1.0,1.0
83403,1.0,1.0,1.0,1.0
83501,,,,
83502,1.0,1.0,1.0,1.0
83601,1.0,1.0,1.0,0.0
83602,1.0,1.0,1.0,1.0
83603,1.0,1.0,1.0,1.0
83901,1.0,1.0,1.0,1.0
84001,,,0.0,0.0
84002,,,,
84101,1.0,1.0,1.0,0.0
84102,1.0,1.0,1.0,1.0
84201,1.0,1.0,1.0,0.0
84301,0.0,0.0,0.0,1.0
84501,0.0,0.0,1.0,0.0
84502,,,,
84503,1.0,1.0,1.0,1.0
84801,1.0,0.0,0.0,1.0
85201,0.0,0.0,0.0,
85401,1.0,1.0,1.0,1.0
85402,1.0,1.0,1.0,1.0
85403,1.0,1.0,1.0,1.0
85404,1.0,1.0,1.0,1.0
85501,0.0,0.0,0.0,0.0
85502,1.0,1.0,1.0,1.0
85601,1.0,0.0,0.0,1.0
85602,1.0,1.0,1.0,1.0
85603,1.0,1.0,1.0,1.0
86201,0.0,0.0,0.0,0.0
86202,1.0,0.0,0.0,1.0
86601,1.0,1.0,1.0,1.0
86602,1.0,1.0,1.0,1.0
86603,1.0,1.0,1.0,1.0
86701,,,,
86901,,,,
86902,,,,
87501,1.0,1.0,1.0,1.0
87601,0.0,0.0,0.0,0.0
87602,0.0,0.0,0.0,0.0
87603,0.0,0.0,0.0,
87604,1.0,1.0,1.0,1.0
87901,1.0,1.0,1.0,1.0
87902,1.0,1.0,1.0,1.0
88001,1.0,0.0,0.0,0.0
88002,1.0,1.0,1.0,1.0
88003,1.0,1.0,1.0,1.0
88601,1.0,1.0,1.0,1.0
88602,1.0,1.0,1.0,1.0
88701,1.0,1.0,1.0,1.0
88702,1.0,1.0,1.0,1.0
88901,0.0,0.0,0.0,0.0
88902,1.0,1.0,1.0,1.0
89301,1.0,1.0,1.0,1.0
89302,1.0,1.0,1.0,1.0
89303,1.0,1.0,1.0,1.0
89401,,,,
89402,,,,
89403,,,,
89501,,,0.0,0.0
89502,,,,
89601,1.0,1.0,1.0,1.0
89602,1.0,1.0,1.0,1.0
89801,1.0,1.0,1.0,1.0
89802,1.0,1.0,1.0,1.0
89803,1.0,1.0,1.0,1.0
90001,1.0,1.0,1.0,1.0
