C0000100,severity_worst,severity_label,total_convictions_63,total_conviction_types,total_probation,total_incarcerated,target_violent_ever,target_property_ever,target_violent_first_event_year,target_property_first_event_year
28802,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2002.0,2002.0
28803,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2008.0,2008.0
28804,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2012.0,2012.0
28805,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2014.0,2012.0
28806,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2016.0,2016.0
28901,0,none,0.0,0.0,0.0,0.0,0.0,0.0,,
28902,0,none,0.0,0.0,0.0,0.0,1.0,1.0,1996.0,1998.0
29001,0,none,0.0,0.0,0.0,0.0,1.0,0.0,1994.0,
29002,0,none,0.0,0.0,0.0,0.0,1.0,1.0,1996.0,1996.0
29201,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2006.0,2006.0
29202,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2006.0,2006.0
29301,0,none,0.0,0.0,0.0,0.0,1.0,1.0,1996.0,2002.0
29302,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2000.0,2002.0
29401,0,none,0.0,0.0,0.0,0.0,0.0,,,
29402,0,none,0.0,0.0,0.0,0.0,,,,
29403,0,none,0.0,0.0,0.0,0.0,,,,
29701,3,major,10.0,7.0,1.0,1.0,1.0,1.0,1994.0,1994.0
29702,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2006.0,2008.0
29801,0,none,0.0,0.0,1.0,0.0,0.0,0.0,,
29802,0,none,0.0,0.0,0.0,0.0,,,,
30501,0,none,0.0,0.0,0.0,0.0,,,,
30502,0,none,0.0,0.0,0.0,0.0,,,,
31201,0,none,0.0,0.0,0.0,0.0,1.0,1.0,1994.0,1998.0
31202,0,none,0.0,0.0,0.0,0.0,1.0,1.0,1998.0,2002.0
31401,0,none,0.0,0.0,0.0,0.0,1.0,0.0,1994.0,
31402,0,none,0.0,0.0,0.0,0.0,0.0,1.0,,1998.0
31403,0,none,0.0,0.0,0.0,0.0,0.0,0.0,,
31404,0,none,0.0,0.0,0.0,0.0,0.0,,,
31405,0,none,0.0,0.0,0.0,0.0,0.0,,,
32101,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2004.0,2004.0
32102,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2002.0,2004.0
32103,0,none,0.0,0.0,0.0,0.0,0.0,0.0,,
32201,0,none,0.0,0.0,1.0,0.0,1.0,1.0,2000.0,2004.0
32202,0,none,0.0,0.0,0.0,0.0,0.0,0.0,,
32203,0,none,0.0,0.0,0.0,0.0,0.0,,,
33301,0,none,0.0,0.0,0.0,0.0,1.0,0.0,1992.0,
33302,3,major,0.0,1.0,1.0,0.0,1.0,1.0,2004.0,2004.0
33501,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2004.0,2004.0
33801,0,none,0.0,0.0,0.0,0.0,0.0,0.0,,
33802,0,none,0.0,0.0,0.0,0.0,0.0,0.0,,
33901,0,none,0.0,0.0,0.0,0.0,1.0,0.0,1992.0,
34001,0,none,0.0,0.0,0.0,0.0,0.0,1.0,,1992.0
34002,0,none,0.0,0.0,0.0,0.0,1.0,0.0,1998.0,
34003,0,none,0.0,0.0,0.0,0.0,0.0,0.0,,
34301,0,none,0.0,0.0,0.0,0.0,1.0,0.0,1996.0,
34401,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2000.0,2006.0
34402,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2006.0,2006.0
34501,0,none,0.0,0.0,0.0,0.0,,,,
34701,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2004.0,2004.0
34702,0,none,0.0,0.0,0.0,0.0,1.0,0.0,2002.0,
35401,0,none,0.0,0.0,1.0,0.0,1.0,1.0,2002.0,2004.0
35402,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2010.0,2010.0
36501,0,none,0.0,0.0,0.0,0.0,,,,
36502,0,none,0.0,0.0,0.0,0.0,,,,
36503,0,none,0.0,0.0,0.0,0.0,,,,
36504,0,none,0.0,0.0,0.0,0.0,,,,
36505,0,none,0.0,0.0,0.0,0.0,,,,
36901,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2004.0,2006.0
36902,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2010.0,2006.0
37101,0,none,0.0,0.0,1.0,0.0,0.0,,,
37102,0,none,0.0,0.0,0.0,0.0,,,,
37103,0,none,0.0,0.0,0.0,0.0,0.0,,,
37301,0,none,0.0,0.0,0.0,0.0,1.0,1.0,1992.0,1992.0
37302,0,none,0.0,0.0,0.0,0.0,1.0,0.0,1998.0,
37401,0,none,0.0,0.0,0.0,0.0,1.0,0.0,2000.0,
37402,0,none,0.0,0.0,0.0,0.0,1.0,1.0,1994.0,1994.0
37403,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2000.0,2002.0
37901,0,none,0.0,0.0,0.0,0.0,1.0,0.0,1996.0,
37902,0,none,0.0,0.0,2.0,1.0,0.0,0.0,,
37903,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2002.0,2002.0
38201,0,none,0.0,0.0,0.0,0.0,0.0,0.0,,
38202,3,major,0.0,1.0,0.0,0.0,1.0,0.0,2012.0,
38501,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2002.0,2002.0
38502,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2002.0,2002.0
38503,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2012.0,2012.0
38801,3,major,0.0,1.0,2.0,0.0,1.0,1.0,1998.0,2002.0
38802,0,none,0.0,0.0,1.0,0.0,1.0,1.0,2006.0,2006.0
38803,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2012.0,2012.0
38901,0,none,0.0,0.0,0.0,0.0,0.0,0.0,,
38902,0,none,0.0,0.0,0.0,0.0,,,,
39001,0,none,0.0,0.0,0.0,0.0,0.0,,,
39002,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2004.0,2004.0
39003,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2006.0,2006.0
39004,3,major,0.0,2.0,0.0,0.0,1.0,1.0,2014.0,2014.0
39101,0,none,0.0,0.0,0.0,0.0,1.0,0.0,1994.0,
39102,3,major,0.0,1.0,0.0,0.0,1.0,1.0,1998.0,2002.0
39103,0,none,0.0,0.0,1.0,0.0,1.0,1.0,2008.0,2006.0
39501,0,none,0.0,0.0,0.0,0.0,1.0,1.0,1998.0,1998.0
39502,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2002.0,2002.0
39701,0,none,0.0,0.0,0.0,0.0,0.0,0.0,,
39702,0,none,0.0,0.0,0.0,0.0,1.0,0.0,1998.0,
39703,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2002.0,2006.0
39704,0,none,0.0,0.0,1.0,0.0,0.0,,,
39901,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2002.0,2002.0
40001,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2006.0,2006.0
40101,3,major,0.0,1.0,0.0,0.0,1.0,0.0,1992.0,
40102,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2004.0,2004.0
40201,1,mild,1.0,1.0,1.0,0.0,0.0,1.0,,1994.0
40202,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2002.0,2002.0
40203,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2010.0,2010.0
40501,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2002.0,2006.0
40502,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2006.0,2008.0
40503,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2010.0,2010.0
40701,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2010.0,2010.0
40702,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2012.0,2012.0
41401,0,none,0.0,0.0,0.0,0.0,1.0,1.0,1996.0,2002.0
41402,0,none,0.0,0.0,0.0,0.0,1.0,1.0,2000.0,2002.0
