csv_code,coefficient,ref_id,variable,survey_year,feature_group,question,abs_coefficient
C5121900,-0.23561660776237864,C51219.00,CSAS056B,2010,substance/risk behavior,CHILD SELF-ADMIN: CHILD'S AGE WHEN FIRST DRANK ALCOHOL,0.23561660776237864
C0005700,0.23365768558670255,C00057.00,CYRB,XRND,background,DATE OF BIRTH OF CHILD - YEAR,0.23365768558670255
Y3246503,-0.2326914685212609,Y32465.03,Q13-3C.01~000010,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME,0.2326914685212609
Y1417500,0.2326674163532262,Y14175.00,YASR-66,2002,prior delinquency/contact,EVER/SINCE DATE OF LAST INTERVIEW R BEEN SENTENCED TO A CORRECTIONS,0.2326674163532262
C2433500,0.2264779156950407,C24335.00,MS2-10,2000,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME,0.2264779156950407
C5990500,-0.2247837829291257,C59905.00,MS-BKGN-AGECK-YA1,2014,family/home,IS CHILD TURNING 15 YEARS OF AGE IN 2014?,0.2247837829291257
C6100000,-0.21909648967997739,C61000.00,MS-BPI-06,2016,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD ARGUES TOO MUCH,0.21909648967997739
C0565800,0.21600751864386217,C05658.00,MS860536,1986,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT,0.21600751864386217
Y2608200,0.20961657757991464,Y26082.00,YASR-60C,2010,prior delinquency/contact,HOW MANY TIMES IN LAST YEAR R HURT SOMEONE BADLY ENOUGH TO NEED,0.20961657757991464
Y3676100,0.20960085785978055,Y36761.00,NUMINHH2016,2016,family/home,NUMBER OF HOUSEHOLD MEMBERS IN HH OF R,0.20960085785978055
C0984100,0.20831473038419282,C09841.00,MS901329,1990,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES,0.20831473038419282
C2466400,0.2082681538361409,C24664.00,CSAS040E,2000,school/achievement,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR DAMAGED SCHOOL PROPERTY ON,0.2082681538361409
C6032600,-0.20589139253157474,C60326.00,MS-BPI-13,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT,0.20589139253157474
C6034500,0.20302924161903108,C60345.00,MS-BPI-31,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL,0.20302924161903108
C1636400,-0.20246398870545818,C16364.00,MS961429,1996,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES,0.20246398870545818
Y2876700,-0.20164587637146986,Y28767.00,Q13-3D.01~000013,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT,0.20164587637146986
Y1668802,0.19678865144349605,Y16688.02,YASR-65A~000003,2004,prior delinquency/contact,CHARGES R MOST RECENTLY CONVICTED OF - THEFT,0.19678865144349605
C2766100,0.19650162211042072,C27661.00,CSAS040E,2002,school/achievement,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR DAMAGED SCHOOL PROPERTY ON,0.19650162211042072
Y2892400,0.1959291971030779,Y28924.00,Q14-16,2012,health,WHEN R LAST SAW DOCTOR FOR TREATMENT OF AN ILLNESS,0.1959291971030779
Y2609900,0.19518733996590662,Y26099.00,YASR-67,2010,prior delinquency/contact,EVER/SINCE DATE OF LAST INTERVIEW R BEEN ON PROBATION?,0.19518733996590662
Y1938701,-0.19484329302809625,Y19387.01,YASR-54A~000002,2006,other,"BIRTH CONTROL METHODS R USED - CONDOM, RUBBER",0.19484329302809625
Y1416200,0.19233958794568023,Y14162.00,YASR-60F,2002,school/achievement,HOW MANY TIMES IN LAST YEAR R DAMAGED SCHOOL PROPERTY ON PURPOSE,0.19233958794568023
C5190900,-0.19171318657511122,C51909.00,MS-BPI-13,2010,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT,0.19171318657511122
C3010000,0.1915507173447804,C30100.00,BPI-04,2004,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES,0.1915507173447804
C2996600,-0.18323783895829865,C29966.00,HOME-D04,2004,family/home,HOME PART D (10-14 YRS): DOES FAMILY GET A DAILY NEWSPAPER?,0.18323783895829865
C5118200,0.17711558414089704,C51182.00,CSAS040B,2010,prior delinquency/contact,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO,0.17711558414089704
Y3247100,-0.17574415167731186,Y32471.00,Q13-3D.01~000013,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT,0.17574415167731186
Y1489300,0.17530343997898004,Y14893.00,Q4-5AA,2004,school/achievement,HAS R EVER SEEN A STUDENT CARRY A WEAPON ON SCHOOL PROPERTY,0.17530343997898004
Y1942200,0.17353741617254442,Y19422.00,YASR-66,2006,prior delinquency/contact,EVER/SINCE DATE OF LAST INTERVIEW R BEEN SENTENCED TO A CORRECTIONS,0.17353741617254442
Y1176802,0.17248510169127587,Y11768.02,YASR-65A~000003,2000,prior delinquency/contact,CHARGES R MOST RECENTLY CONVICTED OF - THEFT,0.17248510169127587
C5695700,0.17189950379893348,C56957.00,CSAS040B,2012,prior delinquency/contact,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO,0.17189950379893348
C3420200,0.17020733187616272,C34202.00,MS-BPI-06,2006,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD ARGUES TOO MUCH,0.17020733187616272
Y1917200,-0.1700712367053616,Y19172.00,Q15-143,2006,family/home,HOW OFTEN R OR HOUSEHOLD PUTS OFF BUYING SOMETHING NECESSARY (SUCH,0.1700712367053616
C2434400,-0.16884022565608092,C24344.00,MS2-19,2000,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT,0.16884022565608092
Y2258300,0.1678744717029681,Y22583.00,YASR-67,2008,prior delinquency/contact,EVER/SINCE DATE OF LAST INTERVIEW R BEEN ON PROBATION?,0.1678744717029681
C5530600,0.16676221683000167,C55306.00,BPMIS22012,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL RAW SCORE TRICHOTOMOUS ITEMS -,0.16676221683000167
Y3662000,-0.16667354904954593,Y36620.00,YASR-10-1,2016,other,HOW MANY HOURS IN A TYPICAL WEEK R WATCHES TV (CATEGORICAL),0.16667354904954593
Y3246504,0.16654552096930023,Y32465.04,Q13-3C.01~000011,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD DOES NOT SEEM TO FEEL SORRY AFTER,0.16654552096930023
Y3671600,0.16613469811262369,Y36716.00,YASR-67,2016,prior delinquency/contact,EVER/SINCE DATE OF LAST INTERVIEW R BEEN ON PROBATION?,0.16613469811262369
Y1940600,0.16495696163281606,Y19406.00,YASR-60C,2006,prior delinquency/contact,HOW MANY TIMES IN LAST YEAR R HURT SOMEONE BADLY ENOUGH TO NEED,0.16495696163281606
C2773300,-0.16272849822748084,C27733.00,CSAS093,2002,school/achievement,CHILD SELF-ADMIN: HAS CHILD EVER HAD A SEX EDUCATION CLASS AT,0.16272849822748084
C3422800,0.16256476587877516,C34228.00,MS-BPI-31,2006,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL,0.16256476587877516
Y1415900,0.16202806808313766,Y14159.00,YASR-60C,2002,prior delinquency/contact,HOW MANY TIMES IN LAST YEAR R HURT SOMEONE BADLY ENOUGH TO NEED,0.16202806808313766
C1977500,0.16181867071392023,C19775.00,MS984006,1998,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD ARGUES TOO MUCH,0.16181867071392023
C5118500,0.16161502052923374,C51185.00,CSAS040E,2010,school/achievement,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR DAMAGED SCHOOL PROPERTY ON,0.16161502052923374
C0008047,-0.1569600734084938,C00080.47,CRES2004,2004,family/home,USUAL RESIDENCE OF CHILD,0.1569600734084938
Y4276400,-0.156858726997079,Y42764.00,YASR-67,2018,prior delinquency/contact,EVER/SINCE DATE OF LAST INTERVIEW R BEEN ON PROBATION?,0.156858726997079
Y3326400,0.15567166324876253,Y33264.00,YASR-67,2014,prior delinquency/contact,EVER/SINCE DATE OF LAST INTERVIEW R BEEN ON PROBATION?,0.15567166324876253
Y1176806,0.15473578002453559,Y11768.06,YASR-65A~000007,2000,substance/risk behavior,CHARGES R MOST RECENTLY CONVICTED OF - POSSESSION OF MARIJUANA OR,0.15473578002453559
C0781300,-0.15171202294878705,C07813.00,MS880777,1988,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD ARGUES TOO MUCH,0.15171202294878705
Y3586903,-0.1500662673501254,Y35869.03,Q13-3C.01~000010,2016,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME,0.1500662673501254
C3870300,0.14875106340729635,C38703.00,CSAS040E,2008,school/achievement,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR DAMAGED SCHOOL PROPERTY ON,0.14875106340729635
C3366600,0.14874554127303882,C33666.00,CSAS040E,2006,school/achievement,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR DAMAGED SCHOOL PROPERTY ON,0.14874554127303882
C1370100,-0.14828225343722343,C13701.00,CS942641,1994,substance/risk behavior,CHILD SELF-ADMIN: CHILD'S AGE WHEN FIRST DRANK ALCOHOL,0.14828225343722343
C1435400,-0.148032571748679,C14354.00,MS941441,1994,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME,0.148032571748679
C0985000,-0.14626339711772632,C09850.00,MS901347,1990,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT,0.14626339711772632
C5190700,-0.14585233535781642,C51907.00,MS-BPI-11,2010,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD DOES NOT SEEM TO FEEL SORRY AFTER,0.14585233535781642
Y1417900,-0.14416969342150168,Y14179.00,YASR-69B,2002,socioeconomic/work,WAS ANY OF VOLUNTEER WORK R HAS DONE COURT ORDERED?,0.14416969342150168
C2435600,-0.1439516495553959,C24356.00,MS2-31,2000,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL,0.1439516495553959
Y3326300,0.14231535132234086,Y33263.00,YASR-66,2014,prior delinquency/contact,EVER/SINCE DATE OF LAST INTERVIEW R BEEN SENTENCED TO A CORRECTIONS,0.14231535132234086
Y2674500,-0.14136007587270555,Y26745.00,Q4-5AA,2012,school/achievement,HAS R EVER SEEN A STUDENT CARRY A WEAPON ON SCHOOL PROPERTY,0.14136007587270555
C2525000,-0.1406049807527107,C25250.00,BPMIS22002,2002,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL RAW SCORE TRICHOTOMOUS ITEMS -,0.1406049807527107
C5696000,0.1401675816637998,C56960.00,CSAS040E,2012,school/achievement,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR DAMAGED SCHOOL PROPERTY ON,0.1401675816637998
C1637300,0.1399303554101661,C16373.00,MS961447,1996,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT,0.1399303554101661
Y2876103,0.13940012024165627,Y28761.03,Q13-3C.01~000010,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME,0.13940012024165627
C0793800,-0.138870530153803,C07938.00,ANTI1988,1988,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL RAW SCORE,0.138870530153803
Y1668200,0.1380548914632053,Y16682.00,YASR-61B,2004,school/achievement,IN LAST YEAR R EVER GOTTEN INTO A PHYSICAL FIGHT AT SCHOOL OR WORK,0.1380548914632053
Y3671500,0.13674771465429741,Y36715.00,YASR-66,2016,prior delinquency/contact,EVER/SINCE DATE OF LAST INTERVIEW R BEEN SENTENCED TO A CORRECTIONS,0.13674771465429741
Y3589401,-0.13620728325049067,Y35894.01,Q13-3G.02~000026,2016,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL,0.13620728325049067
C5807400,-0.13521889936706802,C58074.00,BPEXTP2014,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL PERCENTILE SCORE TRICHOTOMOUS,0.13521889936706802
C1978000,-0.13319782496072205,C19780.00,MS984011,1998,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD DOES NOT SEEM TO FEEL SORRY AFTER,0.13319782496072205
Y1416800,0.13296082581394741,Y14168.00,YASR-61B,2002,school/achievement,IN LAST YEAR R EVER GOTTEN INTO A PHYSICAL FIGHT AT SCHOOL OR WORK,0.13296082581394741
Y2342510,-0.1326163918168503,Y23425.10,Q3-75~000011,2010,family/home,RESPONSIBLILITY FOR HOUSEHOLD CHORES - HOW OFTEN DOES R DRIVE OTHER,0.1326163918168503
C1980000,-0.13169140883577324,C19800.00,MS984031,1998,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL,0.13169140883577324
C2479400,0.1305263377801102,C24794.00,CSAS107C,2000,school/achievement,CHILD SELF-ADMIN: EVER HAD A CLASS/TRAINING PROGRAM ON WORD,0.1305263377801102
Y3588100,0.13020913227449163,Y35881.00,Q13-3E.01~000019,2016,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT,0.13020913227449163
C3604000,-0.128383842103134,C36040.00,NHFCHD2008,2008,family/home,# FEMALE HH MEMBERS UNDER 18 IN HOUSEHOLD OF MOTHER,0.128383842103134
C0782000,-0.12685262510102413,C07820.00,MS880817,1988,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT,0.12685262510102413
C6100500,0.12486656394183165,C61005.00,MS-BPI-11,2016,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD DOES NOT SEEM TO FEEL SORRY AFTER,0.12486656394183165
C0564300,-0.12422794974125644,C05643.00,MS860521,1986,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES,0.12422794974125644
C2521400,0.1241996227589895,C25214.00,NH6_112002,2002,family/home,# HOUSEHOLD MEMBERS AGED 6 - 11 IN HOUSEHOLD OF MOTHER,0.1241996227589895
C3420700,-0.12176279293191475,C34207.00,MS-BPI-11,2006,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD DOES NOT SEEM TO FEEL SORRY AFTER,0.12176279293191475
Y2959900,0.12151686952258965,Y29599.00,YASR-66,2012,prior delinquency/contact,EVER/SINCE DATE OF LAST INTERVIEW R BEEN SENTENCED TO A CORRECTIONS,0.12151686952258965
C5806800,0.12148212861701999,C58068.00,BPMIS22014,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL RAW SCORE TRICHOTOMOUS ITEMS -,0.12148212861701999
Y1941500,0.12128561208242102,Y19415.00,YASR-61B,2006,school/achievement,IN LAST YEAR R EVER GOTTEN INTO A PHYSICAL FIGHT AT SCHOOL OR WORK,0.12128561208242102
C3010200,0.12111701904573799,C30102.00,BPI-06,2004,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD ARGUES TOO MUCH,0.12111701904573799
C0823600,-0.12032606638906221,C08236.00,CS902039,1990,health,HEALTH: IS CHILD 8 YRS OR OLDER?,0.12032606638906221
C0127413,-0.12025441240516196,C01274.13,NH6_111991,1991,family/home,# HOUSEHOLD MEMBERS AGED 6 - 11 IN HOUSEHOLD OF MOTHER,0.12025441240516196
C0730700,-0.11972660652237004,C07307.00,CS884221,1988,prior delinquency/contact,CHILD SELF-ADMINISTERED: HURT SOMEONE BAD ENOUGH TO NEED A DOCTOR,0.11972660652237004
Y2878501,-0.11922529368881098,Y28785.01,Q13-3G.01~000026,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL,0.11922529368881098
Y2590306,0.11853541331779427,Y25903.06,Q16-9~000007,2010,behavioral/externalizing,TIPI (HOW WELL R THINKS PAIR OF PERSONALITY TRAITS APPLIES TO R) -,0.11853541331779427
C2432900,-0.11825521473125954,C24329.00,MS2-04,2000,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES,0.11825521473125954
Y3373600,0.11803572840433217,Y33736.00,Q2-43,2016,school/achievement,IN PAST YEAR HOW OFTEN R HAS ATTENDED RELIGIOUS SERVICES,0.11803572840433217
C5765300,-0.11694317162942612,C57653.00,MS-BPI-13,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT,0.11694317162942612
Y3588200,0.11453759486167023,Y35882.00,Q13-3E.02~000019,2016,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT,0.11453759486167023
Y3246005,-0.11332315600652794,Y32460.05,Q13-3A.02~000006,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD ARGUES TOO MUCH,0.11332315600652794
Y3588703,0.11281984431663078,Y35887.03,Q13-3F.01~000028,2016,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HANGS AROUND WITH KIDS WHO GET INTO,0.11281984431663078
C0005500,0.11251924720969714,C00055.00,CMOB,XRND,background,DATE OF BIRTH OF CHILD - MONTH,0.11251924720969714
C1366500,-0.11227255599103003,C13665.00,CS942523,1994,school/achievement,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR DAMAGED SCHOOL PROPERTY ON,0.11227255599103003
Y3030900,0.11146227886645203,Y30309.00,Q4-5AA,2014,school/achievement,HAS R EVER SEEN A STUDENT CARRY A WEAPON ON SCHOOL PROPERTY,0.11146227886645203
C1184800,0.1112897257415436,C11848.00,MS921413,1992,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HANGS AROUND WITH KIDS WHO GET INTO,0.1112897257415436
C0782600,0.1109459606344399,C07826.00,MS880823,1988,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT,0.1109459606344399
C0005800,0.11077192118360572,C00058.00,BTHORDR,XRND,background,BIRTH ORDER OF CHILD,0.11077192118360572
C5191500,-0.11023628415048434,C51915.00,MS-BPI-19,2010,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT,0.11023628415048434
C0606300,-0.11000620671518328,C06063.00,CS881515,1988,health,HEALTH: CHILD'S HEIGHT - FEET,0.11000620671518328
Y3254900,0.10991608238301806,Y32549.00,Q14-10M,2014,other,"WHEN R BUYS FOOD ITEM FOR FIRST TIME, HOW OFTEN R READS NUTRITIONAL",0.10991608238301806
C1435700,0.10869030500406435,C14357.00,MS941447,1994,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT,0.10869030500406435
C3422400,-0.10852055063475079,C34224.00,MS-BPI-28,2006,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HANGS AROUND WITH KIDS WHO GET INTO,0.10852055063475079
Y2876104,0.10807058692350141,Y28761.04,Q13-3C.01~000011,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD DOES NOT SEEM TO FEEL SORRY AFTER,0.10807058692350141
C3045500,0.10805800912805036,C30455.00,CSAS040B,2004,prior delinquency/contact,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO,0.10805800912805036
Y1176900,0.10785314574016033,Y11769.00,YASR-66,2000,prior delinquency/contact,EVER/SINCE DATE OF LAST INTERVIEW R BEEN SENTENCED TO A CORRECTIONS,0.10785314574016033
Y1255500,0.10721008164122502,Y12555.00,Q4-5AA,2002,school/achievement,HAS R EVER SEEN A STUDENT CARRY A WEAPON ON SCHOOL PROPERTY,0.10721008164122502
C1436300,0.10654102182049764,C14363.00,MS941459,1994,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT,0.10654102182049764
Y3245903,0.10653596018905913,Y32459.03,Q13-3A.01~000004,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES,0.10653596018905913
Y0671000,-0.1062433626458644,Y06710.00,YASR-65A~000001,1996,prior delinquency/contact,YA SELF-REPORT: EVER CONVICTED OF ASSAULT?,0.1062433626458644
C0781800,0.10623918394615918,C07818.00,MS880815,1988,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD DOES NOT SEEM TO FEEL SORRY AFTER,0.10623918394615918
Y2876203,-0.10574362053981155,Y28762.03,Q13-3C.02~000010,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME,0.10574362053981155
Y2608500,0.10499332148591155,Y26085.00,YASR-60F,2010,school/achievement,HOW MANY TIMES IN LAST YEAR R DAMAGED SCHOOL PROPERTY ON PURPOSE,0.10499332148591155
C2433800,-0.1044851048941125,C24338.00,MS2-13,2000,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT,0.1044851048941125
Y0670200,0.10445468375512765,Y06702.00,YASR-61O,1996,prior delinquency/contact,YA SELF-REPORT: HAVE YOU EVER IN LAST YEAR HURT SOMEONE ENOUGH TO,0.10445468375512765
C0942700,0.1043270237772656,C09427.00,CS906619,1990,school/achievement,CHILD SELF-ADMINISTERED: DAMAGED SCHOOL PROPERTY ON PURPOSE,0.1043270237772656
Y1255600,-0.10423032892249677,Y12556.00,Q4-5AB,2002,school/achievement,IN LAST SCHOOL YEAR HOW OFTEN HAS R SEEN A STUDENT CARRY A WEAPON,0.10423032892249677
Y3249001,-0.10407266199076819,Y32490.01,Q13-3G.02~000026,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL,0.10407266199076819
C6102600,0.10360793609231295,C61026.00,MS-BPI-31,2016,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL,0.10360793609231295
C2738500,-0.1035176259124505,C27385.00,BPI-13,2002,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT,0.1035176259124505
Y1489400,-0.10326417066667967,Y14894.00,Q4-5AB,2004,school/achievement,IN LAST SCHOOL YEAR HOW OFTEN HAS R SEEN A STUDENT CARRY A WEAPON,0.10326417066667967
Y0669000,0.1030017725502953,Y06690.00,YASR-61B,1996,prior delinquency/contact,YA SELF-REPORT: HAVE YOU EVER IN PAST YEAR GOTTEN INTO FIGHT AT,0.1030017725502953
C0733000,-0.10274752728739404,C07330.00,CS884248,1988,substance/risk behavior,CHILD SELF-ADMINISTERED: R'S AGE WHEN FIRST DRANK ALCOHOL,0.10274752728739404
C1504000,-0.10251091854208891,C15040.00,ANTIPX1994,1994,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - SAME SEX,0.10251091854208891
