csv_code,mean_abs_shap_logit,mean_shap_logit,n_splits,mean_split_loss,ref_id,variable,survey_year,feature_group,question
C6032300,0.0,0.0,0,,C60323.00,MS-BPI-10,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME
C6031900,0.0,0.0,0,,C60319.00,MS-BPI-06,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD ARGUES TOO MUCH
Y3248000,0.0,0.0,0,,Y32480.00,Q13-3E.04~000019,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT
Y3247004,0.0,0.0,0,,Y32470.04,Q13-3C.06~000011,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD DOES NOT SEEM TO FEEL SORRY AFTER
Y3247100,0.0,0.0,0,,Y32471.00,Q13-3D.01~000013,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT
Y3247200,0.0,0.0,0,,Y32472.00,Q13-3D.02~000013,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT
Y3247300,0.0,0.0,0,,Y32473.00,Q13-3D.03~000013,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT
Y3247400,0.0,0.0,0,,Y32474.00,Q13-3D.04~000013,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT
Y3247500,0.0,0.0,0,,Y32475.00,Q13-3D.05~000013,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT
Y3247600,0.0,0.0,0,,Y32476.00,Q13-3D.06~000013,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT
Y3247700,0.0,0.0,0,,Y32477.00,Q13-3E.01~000019,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT
Y3247800,0.0,0.0,0,,Y32478.00,Q13-3E.02~000019,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT
Y3247900,0.0,0.0,0,,Y32479.00,Q13-3E.03~000019,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT
Y3248100,0.0,0.0,0,,Y32481.00,Q13-3E.05~000019,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT
Y3246904,0.0,0.0,0,,Y32469.04,Q13-3C.05~000011,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD DOES NOT SEEM TO FEEL SORRY AFTER
Y3248200,0.0,0.0,0,,Y32482.00,Q13-3E.06~000019,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT
C6034100,0.0,0.0,0,,C60341.00,MS-BPI-28,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HANGS AROUND WITH KIDS WHO GET INTO
Y3248303,0.0,0.0,0,,Y32483.03,Q13-3F.01~000028,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HANGS AROUND WITH KIDS WHO GET INTO
Y3248403,0.0,0.0,0,,Y32484.03,Q13-3F.02~000028,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HANGS AROUND WITH KIDS WHO GET INTO
Y3248503,0.0,0.0,0,,Y32485.03,Q13-3F.03~000028,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HANGS AROUND WITH KIDS WHO GET INTO
Y3248603,0.0,0.0,0,,Y32486.03,Q13-3F.04~000028,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HANGS AROUND WITH KIDS WHO GET INTO
Y3248703,0.0,0.0,0,,Y32487.03,Q13-3F.05~000028,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HANGS AROUND WITH KIDS WHO GET INTO
Y3248803,0.0,0.0,0,,Y32488.03,Q13-3F.06~000028,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HANGS AROUND WITH KIDS WHO GET INTO
C5990500,0.0,0.0,0,,C59905.00,MS-BKGN-AGECK-YA1,2014,family/home,IS CHILD TURNING 15 YEARS OF AGE IN 2014?
Y3332300,0.0,0.0,0,,Y33323.00,NUMINHH2014,2014,family/home,NUMBER OF HOUSEHOLD MEMBERS IN HH OF R
Y3247003,0.0,0.0,0,,Y32470.03,Q13-3C.06~000010,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME
Y3246903,0.0,0.0,0,,Y32469.03,Q13-3C.05~000010,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME
C5766800,0.0,0.0,0,,C57668.00,MS-BPI-28,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HANGS AROUND WITH KIDS WHO GET INTO
Y3246205,0.0,0.0,0,,Y32462.05,Q13-3A.04~000006,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD ARGUES TOO MUCH
C6032400,0.0,0.0,0,,C60324.00,MS-BPI-11,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD DOES NOT SEEM TO FEEL SORRY AFTER
C6032600,0.0,0.0,0,,C60326.00,MS-BPI-13,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS IMPULSIVE OR ACTS WITHOUT
C6033200,0.0,0.0,0,,C60332.00,MS-BPI-19,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT
Y3245903,0.0,0.0,0,,Y32459.03,Q13-3A.01~000004,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES
Y3245905,0.0,0.0,0,,Y32459.05,Q13-3A.01~000006,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD ARGUES TOO MUCH
Y3246003,0.0,0.0,0,,Y32460.03,Q13-3A.02~000004,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES
Y3246005,0.0,0.0,0,,Y32460.05,Q13-3A.02~000006,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD ARGUES TOO MUCH
Y3246103,0.0,0.0,0,,Y32461.03,Q13-3A.03~000004,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES
Y3246105,0.0,0.0,0,,Y32461.05,Q13-3A.03~000006,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD ARGUES TOO MUCH
Y3246203,0.0,0.0,0,,Y32462.03,Q13-3A.04~000004,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES
Y3246303,0.0,0.0,0,,Y32463.03,Q13-3A.05~000004,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES
Y3246804,0.0,0.0,0,,Y32468.04,Q13-3C.04~000011,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD DOES NOT SEEM TO FEEL SORRY AFTER
Y3246305,0.0,0.0,0,,Y32463.05,Q13-3A.05~000006,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD ARGUES TOO MUCH
Y3246403,0.0,0.0,0,,Y32464.03,Q13-3A.06~000004,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD CHEATS OR TELLS LIES
Y3246405,0.0,0.0,0,,Y32464.05,Q13-3A.06~000006,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD ARGUES TOO MUCH
Y3246503,0.0,0.0,0,,Y32465.03,Q13-3C.01~000010,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME
Y3246504,0.0,0.0,0,,Y32465.04,Q13-3C.01~000011,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD DOES NOT SEEM TO FEEL SORRY AFTER
Y3246603,0.0,0.0,0,,Y32466.03,Q13-3C.02~000010,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME
Y3246604,0.0,0.0,0,,Y32466.04,Q13-3C.02~000011,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD DOES NOT SEEM TO FEEL SORRY AFTER
Y3246703,0.0,0.0,0,,Y32467.03,Q13-3C.03~000010,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME
Y3246704,0.0,0.0,0,,Y32467.04,Q13-3C.03~000011,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD DOES NOT SEEM TO FEEL SORRY AFTER
Y3246803,0.0,0.0,0,,Y32468.03,Q13-3C.04~000010,2014,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT HOME
Y2877903,0.0,0.0,0,,Y28779.03,Q13-3F.01~000028,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HANGS AROUND WITH KIDS WHO GET INTO
Y2877700,0.0,0.0,0,,Y28777.00,Q13-3E.05~000019,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT
Y2877800,0.0,0.0,0,,Y28778.00,Q13-3E.06~000019,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT
Y2342510,0.0,0.0,0,,Y23425.10,Q3-75~000011,2010,family/home,RESPONSIBLILITY FOR HOUSEHOLD CHORES - HOW OFTEN DOES R DRIVE OTHER
Y2341500,0.0,0.0,0,,Y23415.00,Q3-65~000001,2010,other,HOW FREQUENTLY R AND SPOUSE/PARTNER ARGUE ABOUT CHORES AND
C5116300,0.0,0.0,0,,C51163.00,CSAS024A,2010,peer/neighborhood,CHILD SELF-ADMIN: HAS CHILD EVER SEEN STUDENT CARRY A WEAPON ON
C5118200,0.0,0.0,0,,C51182.00,CSAS040B,2010,prior delinquency/contact,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR HURT SOMEONE BAD ENOUGH TO
Y2608200,0.0,0.0,0,,Y26082.00,YASR-60C,2010,prior delinquency/contact,HOW MANY TIMES IN LAST YEAR R HURT SOMEONE BADLY ENOUGH TO NEED
Y2609700,0.0,0.0,0,,Y26097.00,YASR-65A~000001,2010,prior delinquency/contact,CHARGES R MOST RECENTLY CONVICTED OF - ASSAULT
Y2609701,0.0,0.0,0,,Y26097.01,YASR-65A~000002,2010,prior delinquency/contact,CHARGES R MOST RECENTLY CONVICTED OF - ROBBERY
Y2609702,0.0,0.0,0,,Y26097.02,YASR-65A~000003,2010,prior delinquency/contact,CHARGES R MOST RECENTLY CONVICTED OF - THEFT
Y2609704,0.0,0.0,0,,Y26097.04,YASR-65A~000005,2010,prior delinquency/contact,CHARGES R MOST RECENTLY CONVICTED OF - DESTRUCTION OF PROPERTY
Y2609900,0.0,0.0,0,,Y26099.00,YASR-67,2010,prior delinquency/contact,EVER/SINCE DATE OF LAST INTERVIEW R BEEN ON PROBATION?
Y2609800,0.0,0.0,0,,Y26098.00,YASR-66,2010,prior delinquency/contact,EVER/SINCE DATE OF LAST INTERVIEW R BEEN SENTENCED TO A CORRECTIONS
Y2345000,0.0,0.0,0,,Y23450.00,Q4-5AA,2010,school/achievement,HAS R EVER SEEN A STUDENT CARRY A WEAPON ON SCHOOL PROPERTY
Y2345100,0.0,0.0,0,,Y23451.00,Q4-5AB,2010,school/achievement,IN LAST SCHOOL YEAR HOW OFTEN HAS R SEEN A STUDENT CARRY A WEAPON
Y2609100,0.0,0.0,0,,Y26091.00,YASR-61B,2010,school/achievement,IN LAST YEAR R EVER GOTTEN INTO A PHYSICAL FIGHT AT SCHOOL OR WORK
C5118500,0.0,0.0,0,,C51185.00,CSAS040E,2010,school/achievement,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR DAMAGED SCHOOL PROPERTY ON
Y2608500,0.0,0.0,0,,Y26085.00,YASR-60F,2010,school/achievement,HOW MANY TIMES IN LAST YEAR R DAMAGED SCHOOL PROPERTY ON PURPOSE
Y2611600,0.0,0.0,0,,Y26116.00,YASR-69B,2010,socioeconomic/work,WAS ANY OF VOLUNTEER WORK R HAS DONE COURT ORDERED?
C5121900,0.0,0.0,0,,C51219.00,CSAS056B,2010,substance/risk behavior,CHILD SELF-ADMIN: CHILD'S AGE WHEN FIRST DRANK ALCOHOL
C5122100,0.0,0.0,0,,C51221.00,CSAS057B,2010,substance/risk behavior,CHILD SELF-ADMIN: CHILD'S AGE WHEN FIRST DRANK ALCOHOL MORE THAN
C5122700,0.0,0.0,0,,C51227.00,CSAS063,2010,substance/risk behavior,CHILD SELF-ADMIN: CHILD'S AGE WHEN FIRST USED MARIJUANA
Y2609706,0.0,0.0,0,,Y26097.06,YASR-65A~000007,2010,substance/risk behavior,CHARGES R MOST RECENTLY CONVICTED OF - POSSESSION OF MARIJUANA OR
Y2609707,0.0,0.0,0,,Y26097.07,YASR-65A~000008,2010,substance/risk behavior,CHARGES R MOST RECENTLY CONVICTED OF - SELLING OF MARIJUANA OR
C5767200,0.0,0.0,0,,C57672.00,MS-BPI-31,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL
Y2878501,0.0,0.0,0,,Y28785.01,Q13-3G.01~000026,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL
Y2616600,0.0,0.0,0,,Y26166.00,RESTYPE2010,2010,family/home,TYPE OF RESIDENCE R LIVES IN - CONSTRUCTED
C5192400,0.0,0.0,0,,C51924.00,MS-BPI-28,2010,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HANGS AROUND WITH KIDS WHO GET INTO
Y2878701,0.0,0.0,0,,Y28787.01,Q13-3G.03~000026,2012,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL
C5191500,0.0,0.0,0,,C51915.00,MS-BPI-19,2010,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD HAS STRONG TEMPER AND LOSES IT
C3870300,0.0,0.0,0,,C38703.00,CSAS040E,2008,school/achievement,CHILD SELF-ADMIN: HOW OFTEN IN LAST YEAR DAMAGED SCHOOL PROPERTY ON
Y2256900,0.0,0.0,0,,Y22569.00,YASR-60F,2008,school/achievement,HOW MANY TIMES IN LAST YEAR R DAMAGED SCHOOL PROPERTY ON PURPOSE
Y2258700,0.0,0.0,0,,Y22587.00,YASR-69B,2008,socioeconomic/work,WAS ANY OF VOLUNTEER WORK R HAS DONE COURT ORDERED?
C3873700,0.0,0.0,0,,C38737.00,CSAS056B,2008,substance/risk behavior,CHILD SELF-ADMIN: CHILD'S AGE WHEN FIRST DRANK ALCOHOL
C3873900,0.0,0.0,0,,C38739.00,CSAS057B,2008,substance/risk behavior,CHILD SELF-ADMIN: CHILD'S AGE WHEN FIRST DRANK ALCOHOL MORE THAN
C3874500,0.0,0.0,0,,C38745.00,CSAS063,2008,substance/risk behavior,CHILD SELF-ADMIN: CHILD'S AGE WHEN FIRST USED MARIJUANA
Y2258106,0.0,0.0,0,,Y22581.06,YASR-65A~000007,2008,substance/risk behavior,CHARGES R MOST RECENTLY CONVICTED OF - POSSESSION OF MARIJUANA OR
Y2258107,0.0,0.0,0,,Y22581.07,YASR-65A~000008,2008,substance/risk behavior,CHARGES R MOST RECENTLY CONVICTED OF - SELLING OF MARIJUANA OR
C5192800,0.0,0.0,0,,C51928.00,MS-BPI-31,2010,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: CHILD IS DISOBEDIENT AT SCHOOL
C3986600,0.0,0.0,0,,C39866.00,BPMIS22010,2010,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL RAW SCORE TRICHOTOMOUS ITEMS -
C3986700,0.0,0.0,0,,C39867.00,BPEXTR2010,2010,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL SCORE TRICHOTOMOUS ITEMS
C3987200,0.0,0.0,0,,C39872.00,BPEXTP2010,2010,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL PERCENTILE SCORE TRICHOTOMOUS
C3987300,0.0,0.0,0,,C39873.00,BPEXTZ2010,2010,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: EXTERNAL STANDARD SCORE TRICHOTOMOUS ITEMS
C3987500,0.0,0.0,0,,C39875.00,ANTI2010,2010,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL RAW SCORE
C3987600,0.0,0.0,0,,C39876.00,ANTIPX2010,2010,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - SAME SEX
C3987700,0.0,0.0,0,,C39877.00,ANTIP2010,2010,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL PERCENTILE SCORE - ALL CHILDREN
C3987800,0.0,0.0,0,,C39878.00,ANTIZX2010,2010,behavioral/externalizing,BEHAVIOR PROBLEMS INDEX: ANTISOCIAL STANDARD SCORE - SAME SEX
